Giocatore,Ruolo,Squadra,Prezzo Medio
Bijlow,P,GEN,9
Bleve,P,LEC,1
Butez,P,COM,45
Caprile,P,CAG,12
Carnesecchi,P,ATA,41
Christensen O.,P,FIO,1
Contini,P,NAP,1
Corvi,P,PAR,5
Daffara,P,PAR,1
De Gea,P,FIO,23
De Marzi,P,ROM,1
Desplanches,P,FRO,1
Di Gennaro,P,INT,1
Di Gregorio,P,JUV,44
Falcone,P,LEC,14
Gollini,P,ROM,1
Grandi,P,VEN,1
Happonen,P,BOL,1
Lezzerini,P,FIO,1
Lolic,P,FRO,1
Maignan,P,MIL,51
Mandas,P,LAZ,28
Martinez Jo.,P,INT,50
Mascardi,P,TOR,1
Meret,P,NAP,47
Milinkovic-Savic V.,P,NAP,43
Montipò,P,VEN,3
Motta,P,LAZ,25
Muric,P,SAS,7
Okoye,P,UDI,15
Padelli,P,UDI,1
Paleari,P,TOR,8
Palmisani,P,FRO,3
Penev,P,LEC,1
Perin,P,JUV,25
Perri,P,TOR,3
Pessina Mas.,P,BOL,1
Piana,P,UDI,1
Pinsoglio,P,JUV,1
Pisseri,P,FRO,1
Pizzignacco,P,MON,1
Pozzi,P,VEN,1
Provedel,P,INT,45
Radunovic,P,CAG,1
Renzetti,P,LAZ,1
Russo A.,P,SAS,1
Satalino,P,SAS,1
Sherri,P,CAG,1
Siviero,P,TOR,1
Skorupski,P,BOL,20
Sommariva,P,GEN,1
Sportiello,P,ATA,1
Stankovic F.,P,VEN,3
Stolz,P,GEN,1
Strajnar,P,MON,1
Svilar,P,ROM,55
Terracciano,P,MIL,1
Thiam,P,MON,3
Tornqvist,P,COM,1
Torriani,P,MIL,1
Turati,P,SAS,4
Vicario,P,JUV,46
Vigorito,P,COM,1
Vismara,P,ATA,1
Abankwah,D,UDI,1
Ahanor,D,ATA,2
Akanji,D,INT,32
Akpoguma,D,FRO,2
Alhassane,D,BOL,2
Amey,D,FRO,1
Antov,D,MON,1
Arizala,D,UDI,1
Aurelio,D,CAG,1
Bakoune,D,MON,1
Bartesaghi,D,MIL,16
Bastoni,D,INT,26
Bella-Kotchap,D,VEN,3
Bellanova,D,ATA,15
Bernasconi,D,ATA,8
Bertola,D,UDI,1
Beukema,D,NAP,10
Biraghi,D,TOR,1
Birindelli,D,MON,5
Bisseck,D,INT,24
Bracaglia,D,FRO,3
Bremer,D,JUV,38
Britschgi,D,PAR,1
Buongiorno,D,NAP,10
Cabal,D,JUV,1
Calvani,D,FRO,1
Cambiaso,D,JUV,14
Candè,D,SAS,2
Carboni A.,D,MON,2
Carboni F.,D,PAR,1
Carlos Augusto,D,INT,10
Casale,D,BOL,1
Celik,D,JUV,14
Chalobah T.,D,COM,16
Cittadini,D,FRO,1
Coco,D,TOR,4
Comert,D,TOR,4
Comuzzo,D,TOR,3
Corrado,D,FRO,1
Correia T.,D,VEN,3
Couto,D,COM,8
Delli Carri,D,MON,2
Delprato,D,PAR,6
De Silvestri,D,BOL,1
De Winter,D,MIL,2
Diawara S.,D,MIL,1
Di Lorenzo,D,NAP,25
Dimarco,D,INT,80
Dodò,D,FIO,15
Doekhi,D,LAZ,7
Doig,D,SAS,2
Dragusin,D,FIO,10
Ebosse,D,UDI,1
Estupinan,D,MIL,2
Floriani Mussolini,D,LAZ,2
Franjic,D,VEN,2
Gabbia,D,MIL,9
Gallo,D,LEC,4
Gaspar K.,D,LEC,1
Gatti,D,JUV,5
Ghilardi,D,ROM,2
Gila,D,MIL,18
Goldaniga,D,COM,1
Gomes,D,VEN,1
Hainaut,D,VEN,5
Halhal,D,VEN,1
Haps,D,VEN,6
Heggem,D,BOL,2
Helland,D,BOL,2
Hermoso,D,ROM,18
Hien,D,ATA,3
Holm,D,BOL,4
Idrissi R.,D,CAG,1
Idzes,D,SAS,5
Ismajli,D,TOR,6
Jean,D,LEC,1
Jimenez A.,D,FIO,21
Joao Mario,D,FIO,3
Kabasele,D,UDI,7
Kaiki,D,COM,9
Kalulu,D,JUV,29
Kamara H.,D,UDI,3
Kelly L.,D,JUV,16
Kempf,D,COM,20
Kofler,D,CAG,1
Kolasinac,D,ATA,7
Kossounou,D,ATA,2
Kouadio,D,MON,2
Koulierakis,D,ROM,13
